toi_id,hostname,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2
4360.0,TOI 4360,3246.0,157.0,157.0,0.308247,0.0092169,0.0092169
4366.0,TOI 4366,5355.0,127.5,127.5,1.96,0.11,0.11
4362.0,TOI 4362,6688.0,135.842,135.842,1.57319,0.0652713,0.0652713
4367.0,TOI 4367,5603.0,187.0,187.0,0.91,0.05,0.05
4369.0,TOI 4369,6730.0,126.4,126.4,2.5,0.12,0.12
4371.0,TOI 4371,5801.2,38.2,38.2,1.62,0.08,0.08
438.0,TOI 438,5210.8,145.0,145.0,0.796856,0.054392,0.054392
4380.0,TOI 4380,5780.0,,,,,
4381.0,TOI 4381,5377.0,130.812,130.812,0.841058,0.0468091,0.0468091
4382.0,TOI 4382,6255.0,135.269,135.269,1.45476,0.0666633,0.0666633
4385.0,TOI 4385,6840.0,132.294,132.294,2.7639699,0.130894,0.130894
4384.0,TOI 4384,7596.0,144.339,144.339,1.61,0.06,0.06
4386.0,TOI 4386,8127.0,143.048,143.048,1.75,0.06,0.06
4389.0,TOI 4389,6160.0,300.456,300.456,3.0048201,0.261458,0.261458
4395.0,TOI 4395,9505.0,187.6,187.6,3.13,0.11,0.11
4393.0,TOI 4393,5958.0,163.5,163.5,2.0,0.1,0.1
4391.0,TOI 4391,,,,,,
4398.0,TOI 4398,,,,,,
4400.0,TOI 4400,5478.8,5470.4,5470.4,1.63563,0.0853693,0.0853693
4402.0,TOI 4402,5811.0,126.011,126.011,1.15018,0.0527035,0.0527035
4405.0,TOI 4405,4361.0,128.258,128.258,0.687025,0.0593969,0.0593969
4403.0,TOI 4403,5515.2,119.3,119.3,1.72395,0.0832236,0.0832236
4412.0,TOI 4412,6849.0,129.9,129.9,2.05,0.1,0.1
4417.0,TOI 4417,4846.0,123.1,123.1,0.76,0.05,0.05
4413.0,TOI 4413,5364.0,118.0,118.0,0.89,0.05,0.05
4420.0,TOI 4420,6203.0,124.8,124.8,1.85891,0.0810978,0.0810978
4427.0,TOI 4427,5328.0,136.083,136.083,0.889218,0.0514397,0.0514397
4422.0,TOI 4422,7995.0,142.5,142.5,1.83,0.06,0.06
4429.0,TOI 4429,5402.0,121.807,121.807,1.04301,0.0557789,0.0557789
4430.0,TOI 4430,5490.0,133.259,133.259,1.46,0.08,0.08
4432.0,TOI 4432,4034.0,123.647,123.647,1.02777,0.101359,0.101359
4437.0,TOI 4437,6182.0,122.0,122.0,1.17,,
4436.0,TOI 4436,6250.0,136.01,136.01,1.9992501,0.0914069,0.0914069
4439.0,TOI 4439,5529.0,122.0,122.0,0.948617,,
4441.0,TOI 4441,7305.0,134.849,134.849,1.99827,0.0832713,0.0832713
4443.0,TOI 4443,5834.0,128.702,128.702,1.0173301,0.0490452,0.0490452
4449.0,TOI 4449,5856.0,131.0,131.0,1.28,0.06,0.06
445.0,TOI 445,6307.9,124.2,124.2,1.65,0.07,0.07
4451.0,TOI 4451,6138.0,112.712,112.712,1.07689,0.0452387,0.0452387
4452.0,TOI 4452,5480.0,122.0,122.0,1.13032,,
4458.0,TOI 4458,5904.4,122.0,122.0,2.0955601,0.1001,0.1001
4459.0,TOI 4459,3750.0,157.0,157.0,0.58,0.02,0.02
4462.0,TOI 4462,5918.0,112.3,112.3,2.06,0.09,0.09
4464.0,TOI 4464,5022.0,122.0,122.0,5.14,,
4468.0,TOI 4468,4975.0,122.0,122.0,0.79,,
447.0,TOI 447,6350.0,95.4,95.4,1.26396,0.0558895,0.0558895
4478.0,TOI 4478,5774.0,174.227,174.227,1.17,0.06,0.06
4481.0,TOI 4481,3573.0,157.0,157.0,0.43,0.01,0.01
4484.0,TOI 4484,4844.0,122.0,122.0,0.785703,,
4487.0,TOI 4487,5773.0,41.3,41.3,1.69,0.08,0.08
4495.0,TOI 4495,6156.0,132.372,132.372,1.34,0.06,0.06
4496.0,TOI 4496,,,,,,
450.0,TOI 450,3054.0,,,0.422267,0.0127167,0.0127167
4501.0,TOI 4501,8279.0,139.5,139.5,2.94,0.09,0.09
4504.0,TOI 4504,5271.0,130.4,130.4,0.960919,0.0548341,0.0548341
4506.0,TOI 4506,2938.0,93.0,93.0,0.185013,0.0058804,0.0058804
4508.0,TOI 4508,3383.0,157.0,157.0,0.332564,0.0099286,0.0099286
4513.0,TOI 4513,5558.0,120.728,120.728,0.8,0.04,0.04
4527.0,TOI 4527,3702.0,157.0,157.0,0.485948,0.014338,0.014338
4511.0,TOI 4511,5708.0,140.54,140.54,1.0,0.05,0.05
4537.0,TOI 4537,5975.0,102.5,102.5,1.07392,0.0421483,0.0421483
4540.0,TOI 4540,5328.0,120.1,120.1,0.92,0.05,0.05
4542.0,TOI 4542,4781.0,125.2,125.2,1.05,0.07,0.07
4548.0,TOI 4548,5970.5,,,1.59,,
4556.0,TOI 4556,3319.0,157.0,157.0,0.218553,0.0065861,0.0065861
4558.0,TOI 4558,5217.0,122.0,122.0,2.2631199,,
4560.0,TOI 4560,6491.0,129.148,129.148,1.89742,0.0776357,0.0776357
4561.0,TOI 4561,5631.0,128.852,128.852,0.851957,0.0414372,0.0414372
4566.0,TOI 4566,4443.39,115.215,115.215,0.713304,0.0541357,0.0541357
4568.0,TOI 4568,5899.0,126.849,126.849,1.33,0.06,0.06
457.0,TOI 457,3054.0,97.0,97.0,0.512881,0.0158325,0.0158325
4567.0,TOI 4567,3830.0,157.0,157.0,0.608498,0.0180226,0.0180226
4576.0,TOI 4576,4271.0,127.626,127.626,0.677846,0.0625503,0.0625503
4573.0,TOI 4573,4207.0,121.244,121.244,0.623617,0.0552965,0.0552965
4578.0,TOI 4578,5917.0,123.979,123.979,0.878735,0.0406809,0.0406809
4580.0,TOI 4580,5659.0,187.0,187.0,0.973028,0.0505728,0.0505728
4588.0,TOI 4588,7800.0,100.24,100.24,1.57458,0.0364874,0.0364874
459.0,TOI 459,6559.17,40.1349,40.1349,2.0848899,0.0865123,0.0865123
4596.0,TOI 4596,5598.0,121.1,121.1,0.98,0.05,0.05
4597.0,TOI 4597,7712.0,240.8,240.8,1.57,0.05,0.05
4602.0,TOI 4602,6011.9,122.6,122.6,1.16,0.05,0.05
4608.0,TOI 4608,7418.5,106.2,106.2,1.51,0.07,0.07
4609.0,TOI 4609,7461.4,102.4,102.4,1.68,0.25,0.25
4611.0,TOI 4611,6213.0,161.2,161.2,1.28,0.06,0.06
4613.0,TOI 4613,5341.8,367.5,367.5,2.4,,
4614.0,TOI 4614,4225.95,104.703,104.703,0.876814,0.070892,0.070892
4615.0,TOI 4615,6350.0,139.074,139.074,2.3693399,0.174784,0.174784
4616.0,TOI 4616,3244.0,157.0,157.0,0.192729,0.0057844,0.0057844
4619.0,TOI 4619,7406.97,38.45,38.45,1.56373,,
4620.0,TOI 4620,7825.0,304.131,304.131,2.08,0.07,0.07
4622.0,TOI 4622,3003.0,157.0,157.0,0.463184,0.0211904,0.0211904
4625.0,TOI 4625,4384.23,40.15,40.15,0.720126,0.062549,0.062549
4642.0,TOI 4642,3266.0,157.0,157.0,0.242091,0.0073934,0.0073934
4643.0,TOI 4643,3782.0,157.0,157.0,0.518021,0.0153843,0.0153843
4645.0,TOI 4645,8972.0,177.7,177.7,3.02,0.12,0.12
4647.0,TOI 4647,5991.0,128.907,128.907,0.968041,0.0469849,0.0469849
4657.0,TOI 4657,6200.0,127.0,127.0,1.35175,0.0653267,0.0653267
4658.0,TOI 4658,5575.0,130.4,130.4,0.85,0.04,0.04
4660.0,TOI 4660,4674.0,123.0,123.0,0.84,,
4662.0,TOI 4662,4481.0,121.7,121.7,0.69,0.05,0.05
4688.0,TOI 4688,5851.0,134.8,134.8,1.14,0.06,0.06
4700.0,TOI 4700,4391.0,123.3,123.3,,,
4721.0,TOI 4721,4779.0,,,0.77199,,
4734.0,TOI 4734,5854.0,149.4,149.4,1.76,0.11,0.11
475.0,TOI 475,4105.0,171.0,171.0,0.6194,0.0644472,0.0644472
476.0,TOI 476,7691.0,215.0,215.0,2.05,0.07,0.07
4775.0,TOI 4775,6643.0,145.6,145.6,1.87,0.09,0.09
4778.0,TOI 4778,5296.0,133.8,133.8,1.56375,0.0917464,0.0917464
4776.0,TOI 4776,6079.0,128.0,128.0,1.2,0.05,0.05
4782.0,TOI 4782,7759.0,431.7,431.7,,,
4786.0,TOI 4786,7528.0,146.5,146.5,1.74,0.08,0.08
4787.0,TOI 4787,6107.0,122.7,122.7,1.42,0.06,0.06
4788.0,TOI 4788,6328.0,131.9,131.9,1.32,0.06,0.06
4809.0,TOI 4809,6211.0,118.4,118.4,1.4818799,0.0672739,0.0672739
4819.0,TOI 4819,5150.0,122.0,122.0,0.8,,
4822.0,TOI 4822,7586.0,145.7,145.7,1.71,0.06,0.06
4823.0,TOI 4823,5736.0,124.9,124.9,0.9975,0.0526256,0.0526256
4834.0,TOI 4834,5218.8,42.2,42.2,1.15,,
4835.0,TOI 4835,6047.0,122.0,122.0,1.82,,
4839.0,TOI 4839,4866.9,267.7,267.7,,,
4841.0,TOI 4841,5388.3,115.4,115.4,0.88,0.06,0.06
4858.0,TOI 4858,3333.0,157.0,157.0,0.443812,0.0137555,0.0137555
4869.0,TOI 4869,5962.0,442.3,442.3,,,
