Host_ID,#,Flare_epcoh_TESS,Fl_Epochh,a,b,Teff,abb,Phase,Obs_time,Chi_Sq
M_219101992_2_kappa_0,1,1701.405359,2458701.405,0.827577398,-2.417288667,4000,1,0.572310195,972000,3.458183104
M_219101992_2_kappa_0,1,1700.605362,2458700.605,0.840457703,-2.377233339,4000,1,0.448879566,972000,1.793226415
M_219101992_2_kappa_0,1,1687.460961,2458687.461,1.494108118,-3.177183318,4000,1,0.875613009,972000,0.293649144
M_219101992_2_kappa_0,3,1689.149843,2458689.15,0.985191478,-2.606692232,4000,1,0.213389457,972000,3.502867314
M_219101992_2_kappa_0,4,1698.097042,2458698.097,1.010502211,-2.702445847,4000,1,0.002829111,972000,2.871868197
M_219101992_2_kappa_0,5,1702.033134,2458702.033,1.42367033,-2.73401062,4000,1,0.790047486,972000,0.268416103
M_219101992_2_kappa_0,1,1701.9748,2458701.975,1.378325146,-2.884067177,4000,1,0.932047132,972000,0.234928562
M_219101992_2_kappa_0,2,1703.859515,2458703.86,1.128891432,-2.548334239,4000,1,0.308990011,972000,1.33828621
M_219101992_2_kappa_0,1,1688.048459,2458688.048,1.337071915,-2.847162824,4000,1,0.427050153,972000,0.579631657
M_219101992_2_kappa_0,2,1689.040122,2458689.04,1.176937696,-2.564811482,4000,1,0.625382717,972000,1.164302343
M_219101992_2_kappa_0,3,1701.877579,2458701.878,1.681847354,-4.332904667,4000,1,0.192874134,972000,0.232454034
M_219101992_2_kappa_0,2,1707.144226,2458707.144,1.288875362,-2.828442217,4000,1,0.228312642,972000,0.371778394
M_219101992_2_kappa_0,1,1686.748464,2458686.748,0.880335887,-2.502507626,4000,1,0.861706726,972000,2.990901033
M_219101992_2_kappa_0,2,1688.038737,2458688.039,1.497725337,-3.242062617,4000,1,0.119761209,972000,0.643900993
M_219101992_2_kappa_0,4,1694.549828,2458694.55,1.43106128,-2.935398655,4000,1,0.421979479,972000,0.216517207
M_219101992_2_kappa_0,5,1694.853994,2458694.854,1.656905985,-3.433669353,4000,1,0.482812723,972000,0.308680932
M_219101992_2_kappa_0,6,1697.906765,2458697.907,1.319145476,-2.796713535,4000,1,0.093366873,972000,0.474314223
M_219101992_2_kappa_0,7,1704.9734,2458704.973,0.897722141,-2.685772194,4000,1,0.506693808,972000,6.281184375
M_219101992_2_kappa_0,8,1706.851171,2458706.851,1.563630769,-3.156651567,4000,1,0.88224814,972000,0.206559748
M_219101992_2_kappa_0,9,1707.122004,2458707.122,1.664089139,-3.762411732,4000,1,0.936414653,972000,0.276645578
M_219101992_2_kappa_0,1,1684.36792,2458684.368,1.491118162,-2.355657258,4000,1,0.972886754,972000,6.317119164
M_219101992_2_kappa_0,2,1703.634516,2458703.635,0.934263901,-2.673599908,4000,1,0.826205991,972000,3.88343086
M_219101992_2_kappa_0,1,1688.423457,2458688.423,1.303252362,-2.784837736,4000,1,0.083805204,972000,0.482503452
M_219101992_2_kappa_0,3,1691.627613,2458691.628,1.480893199,-3.244296132,4000,1,0.7246363,972000,0.257536696
M_219101992_2_kappa_0,1,1703.145629,2458703.146,1.415677638,-2.743759751,4000,1,0.989455735,972000,0.229799626
M_219101992_2_kappa_0,2,1703.213684,2458703.214,1.630146872,-1.427222111,4000,1,0.003066791,972000,0.200663936
M_219101992_2_kappa_0,1,1702.49702,2458702.497,1.290437133,-2.727324881,4000,1,0.415841436,972000,0.361683277
M_219101992_2_kappa_0,2,1702.615075,2458702.615,1.689400227,-5.113615474,4000,1,0.439452447,972000,0.200094079
M_219101992_2_kappa_0,3,1704.527568,2458704.528,1.212536886,-2.624384242,4000,1,0.821950925,972000,0.605544745
M_219101992_2_kappa_0,4,1704.681734,2458704.682,1.63559994,-3.876691061,4000,1,0.852784145,972000,0.325125711
M_219101992_2_kappa_0,1,1687.62346,2458687.623,1.601553167,-3.387815064,4000,1,0.561184089,972000,0.3930852
M_219101992_2_kappa_0,4,1708.485889,2458708.486,1.215625939,-2.719963831,4000,1,0.733669869,972000,0.567327049
M_219101992_2_kappa_0,1,1683.912366,2458683.912,1.3591059,-2.940034145,4000,1,0.593460028,972000,0.712388731
M_219101992_2_kappa_0,2,1684.022088,2458684.022,1.724738083,-4.994079993,4000,1,0.615404366,972000,0.131662463
M_219101992_2_kappa_0,1,1694.226217,2458694.226,1.453354943,-2.837981692,4000,1,0.614711774,972000,0.40815181
M_219101992_2_kappa_0,1,1699.212314,2458699.212,0.937446843,-2.67602741,4000,1,0.784816561,972000,4.723328129
M_219101992_2_kappa_0,1,1703.995625,2458703.996,1.388259239,-2.069605135,4000,1,0.620638437,972000,2.091050315
M_219101992_2_kappa_0,3,1709.198388,2458709.198,1.492412524,-3.126656994,4000,1,0.661190982,972000,0.354843806
M_219101992_2_kappa_0,4,1709.64561,2458709.646,1.635320958,-3.329515617,4000,1,0.750635322,972000,0.396094106
M_219101992_3_kappa_0,1,1688.64429,2458688.644,1.501245439,-3.420763804,4000,1,0.120083661,972000,0.374268639
